"Video Games Sales:","","","","Crime Rate:","","",""
"","","","","Year:","Year from 1990 - 2017","",""
"Name:","Name of the video games","","","NA:","Average crime rate for Northern America","",""
"Platform","Name of the Platform the game is played on","","","JP:","Average crime rate for Japan","",""
"Year of release","The year it was released","","","EU:","Average crime rate for Europe","",""
"Genre","Different type of game","","","","","",""
"Publisher","Publishing company of the game","","","","","",""
"NA Sales","Sale of the specific game in Northern America (in million)","","","","","",""
"EU Sales","Sale of the specific game in Europe (in million)","","","Drop Out Rate: ","","",""
"JP Sales","Sale of the specific game in Japan (in million)","","","Year:","Year from 1990 - 2017","",""
"Other Sales","Sale of the specific game in other parts of the world (in million)","","","NA:","Average drop out rate for Northern America","",""
"Global Sales","Total sale of the specific game globally (in million)","","","JP:","Average drop out rate for Japan","",""
"Critic Score","Average score given to the game by critics","","","EU:","Average drop out rate for Europe","",""
"Critic Count","Total number of critics who gave the score","","","","","",""
"User Score","Average score given to the game by user","","","","","",""
"User Count","Total number of users who gave the score","","","","","",""
"Developer","Name of developer of the game","","","","","",""
"Rating","Rating given to the game: ","","","","","",""
"","AO - Adults Only (age 18 and up)","","","","","",""
"","E - Everyone","","","","","",""
"","E10+ - Everyone who are 10 years and up","","","","","",""
"","EC - Early Childhood","","","","","",""
"","K-A - Kid to adults (generally for age 13 - 18)","","","","","",""
"","M - Mature (age 17 and up)","","","","","",""
"","RP - Rating Pending","","","","","",""
"","T - Teen (age 13 and up)","","","","","",""
"","","","","","","",""
